City,URL
भिमेश्वर,http://bhimeshwormun.gov.np/ne
भीमदत्त,http://bheemdattamun.gov.np/ne
भीर्कोट,http://bheerkotmun.gov.np/ne
भृकुटी,http://bhrikutimun.gov.np/ne
भेरीगंगा,http://www.bherigangamun.gov.np/
भेरीमलिका,http://bherimalikamun.gov.np/ne
भोजपुर,http://www.bhojpurmun.gov.np/ne
मंगलसेन,http://www.mangalsenmun.gov.np/ne
मध्यनेपाल,http://madhyanepalmun.gov.np/ne
मध्यपुर थिमि,http://madhyapurthimimun.gov.np/ne
मध्यबिन्दु,http://madhyabindumun.gov.np/ne
मन्थली,http://www.manthalimun.gov.np/ne
मलङ्गवा,http://malangwamun.gov.np/
महागढीमाई,http://www.mahagadimaimun.gov.np/ne
महामञ्जुश्री नगरकोट,http://www.mahamanjushreenagarkotmun.gov.np/ne
महालक्ष्मी,http://www.mahalaxmimun.gov.np/ne
माडी,http://www.maddimun.gov.np/ne
मादि,http://www.madimun.gov.np/ne
मिथिला,http://www.mithilamun.gov.np/ne
मिर्चैया,http://www.mirchaiyamun.gov.np/ne
मुसिकोट,http://www.musikotmun.gov.np/ne
मेचीनगर,http://mechinagarmun.gov.np/ne
मेलम्ची,http://www.melamchimun.gov.np/ne
म्याङ्लुङ,http://www.myanglungmun.gov.np/ne
रंगेली,http://www.rangelimun.gov.np/ne
राईनास,http://rainasmun.gov.np/ne
राजविराज,http://rajbiraj.municipality.gov.np/ne
राजापुर,http://www.rajapurmun.gov.np/ne
राप्ती,http://raptimun.gov.np/ne
रामग्राम,http://ramgrammun.gov.np/?language=ne
रामधुनीभाषी,http://www.ramdhunibhasimun.gov.np/ne
रामपुर,http://www.rampurmun.gov.np/ne
रामेछाप,http://www.ramechhapmun.gov.np/ne
रेसुङ्गा,http://www.resungamun.gov.np/ne
लमही,http://www.lamahimun.gov.np/ne
लम्की चुहा,http://www.lamkichuhamun.gov.np/ne
ललितपुर,http://lalitpurmun.gov.np/
लहान,http://lahanmun.gov.np/ne
लालबन्दी,http://www.laalbandimun.gov.np/ne
लालीगुराँस,http://laliguransmun.gov.np/ne
लिबांग,http://www.libangmun.gov.np/ne
लेतांग भोगटेनी,http://www.letangbhogatenimun.gov.np/ne
वालिङ,http://walingmun.gov.np/?language=ne
विराटनगर,http://biratnagarmun.gov.np/ne
वीरगंज,http://birgunjmun.gov.np/
वीरेन्द्रनगर,http://birendranagarmun.gov.np/
वेलडाँडी,http://beldandimun.gov.np/ne
व्यास,http://vyasmun.gov.np/
शंखरापुर,http://www.shankharapurmun.gov.np/ne
शम्भुनाथ,http://www.shambhunathmun.gov.np/ne
शानीअर्जुन,http://www.shaniarjunmun.gov.np/ne
शारदा,http://www.shaaradamun.gov.np/ne
शिवराज,http://www.shivarajmun.gov.np/ne
शिवसताक्षी,http://www.shivasataximun.gov.np/ne
शुक्ला गण्डकी,http://www.shuklagandakimun.gov.np/ne
शुभाघाट गंगामाला,http://shubhaghatgangamalamun.gov.np/ne
षडानन्द,http://www.shadanandmun.gov.np/ne
सप्तकोशी,http://www.saptakoshimun.gov.np/ne
सबैला,http://www.sabailamun.gov.np/ne
साँफेबगर,http://www.sanfebagarmun.gov.np/ne
सानोश्रीताराताल,http://www.sanoshreetaratalmun.gov.np/ne
सिद्धार्थनगर,http://siddharthanagarmun.gov.np/?language=ne
सिद्धीचरण,http://www.siddhicharanmun.gov.np/ne
सिम्रोनगढ,http://www.simraungadhmun.gov.np/ne
सिरहा,http://sirahamun.gov.np/ne
सुखिपुर,http://sukhipurmun.gov.np/ne
सुनवल,http://www.sunwalmun.gov.np/ne
सुन्दर दुलारी,http://www.sundardularimun.gov.np/ne
सुन्दरबजार,http://www.sundarbazarmun.gov.np/ne
सुर्यविनायक,http://www.suryabinayakmun.gov.np/ne
सुर्यविनायक,http://www.suryabinayakmun.gov.np/ne
सुर्योदय,http://www.suryodayamun.gov.np/ne
सैना मैना,http://www.sainamainamun.gov.np/ne
हनुमाननगर योगिनिमाई,http://hanumannagaryoginimaimun.gov.np/ne
हेटौडा,http://hetaudamun.gov.np/?language=ne
